Acronym|Term
SSM|Superficial Spreading Melanoma
SSRP1|Signal Sequence Recognition Protein 1
SSRP1|Structure Specific Recognition Protein 1
SSRP|Structure Specific Recognition Protein
SSX1|Sarcoma, Synovial, X-chromosome-related 1
SSX2|Sarcoma, Synovial, X-chromosome-related 2
SSX4|Sarcoma, Synovial, X-chromosome-related 4
SSX|Sarcoma, Synovial, X-chromosome-related
SSX|Synovial Sarcoma X
SSX|Synovial Sarcoma, X
STF|Subchromosomal Transferable Fragment
STIC|Serous Tubal Intraepithelial Carcinoma
SVC|Slow Vital Capacity
T1|Theta 1
T1|Translocase 1
T1|Translocator 1
T2DM|Type 2 Diabetes Mellitus
T2|Theta 2
T2|Type 2
T3|Transferase 3
TAA|Tumor Associated Antigen
TAD3|Trna-specific Adenosine Deaminase 3
TAL|T-cell Acute Lymphocytic
TAM|Transient Abnormal Myelopoiesis
TASS|Toxic Anterior Segment Syndrome
TAS|Technology Attitude Scale
TBII|Thyrotropin Binding Inhibitory Immunoglobulin
TBK1|Tank Binding Kinase 1
TBL1X|Transducin Beta Like 1 X-linked
TBL1Y|Transducin Beta Like 1 Y-linked
TBP|Tata Box-binding Protein
TBP|Tata Box-binding Protein-like
TBP|Tata Box-binding Protein-related
TCF1|T Cell Factor 1
TCF7|T Cell Factor 7
TCM|Traditional Chinese Medicine
TCRIM|T Cell Receptor Interacting Molecule
TC|T Cell
TC|T Cells
TC|Truc-t Cell-targeting
TER|Transitional Endoplasmic Reticulum
TESS|Toronto Extremity Salvage Score
TFAM|Transcription Factor A, Mitochondrial
TFPI2|Tissue Factor Pathway Inhibitor 2
TFPI|Tissue Factor Pathway Inhibitor
TGFA|Transforming Growth Factor Alpha
TGFB1|Transforming Growth Factor Beta 1
TGFB1|Transforming Growth Factor, Beta 1
TGFB2|Transforming Growth Factor, Beta 2
TGFB3|Transforming Growth Factor Beta 3
TGFB3|Transforming Growth Factor, Beta 3
TGF|Transforming Growth Factor
TGF|Transforming Growth Factor-alpha
TG|Tg Gene
TG|Thyroglobulin Gene
THRA|Thyroid Hormone Receptor Alpha
THRA|Thyroid Hormone Receptor, Alpha
THRB|Thyroid Hormone Receptor Beta
THRB|Thyroid Hormone Receptor, Beta
THT|Thyroid Hormone Therapy
TH|Tyrosine Hydroxylase
TIL|Tumor Infiltrating Lymphocyte
TIL|Tumor Infiltrating Lymphocytes
TIM|Transforming Immortalized Mammary
TINF2|Terf1 Interacting Nuclear Factor 2
TIPS|Transjugular Intrahepatic Portosystemic Shunt
TJP1|Tight Junction Protein 1
TK1|Thymidine Kinase 1
TK2|Thymidine Kinase 2
TKI|Tyrosine Kinase Inhibitor
TKT|Tyrosine-protein Kinase Tyro10
TLR7|Toll Like Receptor 7
TLR8|Toll Like Receptor 8
TM|Target Module
TM|Targeting Module
TM|Tm Mouse
TNFR1|Tumor Necrosis Factor Receptor 1
TNFR2|Tumor Necrosis Factor Receptor 2
TNFR|Tumor Necrosis Factor Receptor
TNF|Tumor Necrosis Factor
TNF|Tumor Necrosis Factor-alpha
TNF|Tumor Necrosis Factor-beta
TNF|Tumor Necrosis Factor-like
TORC|Target Of Rapamycin Complex
TOR|Target Of Rapamycin
TPM|Transcripts Per Million
TPN|Total Parenteral Nutrition
TPR|Translocated Promoter Region
TPT1|Tumor Protein, Translationally-controlled 1
TP|Thymopoietin-related Peptide
TR1|Thioredoxin Reductase 1
TR3|Testicular Receptor 3
TR3|Thioredoxin Reductase 3
TR4|Testicular Receptor 4
TRAF2|Tnf Receptor Associated Factor 2
TRAF3|Tnf Receptor Associated Factor 3
TRAF4|Tnf Receptor Associated Factor 4
TRAF6|Tnf Receptor Associated Factor 6
TRAF7|Tnf Receptor Associated Factor 7
TRAG3|Taxol Resistance Associated Gene 3
TRAP1|Tnf Receptor Associated Protein 1
TRH|Thyrotropin Releasing Hormone
TRK|Tropomyosin Receptor Kinase
TRK|Tyrosine Receptor Kinase
TRN|Tgf-beta Related Neurotrophic
TRP|Transient Receptor Potential
TSEB|Total Skin Electron Beam
TSE|Total Skin Electron
TSHR|Thyroid Stimulating Hormone Receptor
TSH|Thyroid Stimulating Hormone
TSI|Thyroid Stimulating Immunoglobulin
TSLP|Thymic Stromal Lymphopoietin Protein
TSPY1|Testis Specific Protein, Y-linked 1
TSSC1|Tumor Suppressing Subtransferable Candidate 1
TSSC4|Tumor Suppressing Subtransferable Candidate 4
TSS|Tissue Source Site
TTF|Translocation Three Four
TTL|Tubulin Tyrosine Ligase
TTPA|Tocopherol Transfer Protein, Alpha
TT|Torque Teno
TVL|Total Vaginal Length
UBTF|Upstream Binding Transcription Factor
UCDAI|Ulcerative Colitis Disease Activity Index
UHDRS|Unified Huntington's Disease Rating Scale
UIMC1|Ubiquitin Interaction Motif Containing 1
UIP1|Uch Interacting Protein 1
UIP1|Uch37 Interacting Protein 1
UK|United Kingdom
ULK4|Unc-51 Like Kinase 4
UMC|Uppsala Monitoring Centre
UMIN|University Medical Information Network
UM|U.s. Minor
UPA|Urokinase Plasminogen Activator
UPA|Urokinase-type Plasminogen Activator
UPC|Universal Product Code
URL|Uniform Resource Locator
USB1|U Six Biogenesis 1
USB1|U6 Snrna Biogenesis 1
USP1|Ubiquitin Specific Peptidase 1
USP1|Ubiquitin Specific Protease 1
USP6|Ubiquitin Specific Peptidase 6
USP6|Ubiquitin Specific Protease 6
USP7|Ubiquitin Specific Peptidase 7
USP7|Ubiquitin Specific Protease 7
USP8|Ubiquitin Specific Protease 8
USP9X|Ubiquitin Specific Peptidase 9 X-linked
USP9X|Ubiquitin Specific Peptidase 9, X-linked
USP9X|Ubiquitin Specific Protease 9, X
USP9X|Ubiquitin Specific Protease 9, X-linked
USP9Y|Ubiquitin Specific Peptidase 9 Y-linked
USP|Ubiquitin Specific Peptidase
USP|Ubiquitin Specific Protease
UST|User Site Testing
US|Ultrasound Service
US|United States
US|Us State
US|Us Survey
V1|Variant 1
VAMP8|Vesicle Associated Membrane Protein 8
VAS|Visual Analog Scale
VA|Veterans Administration
VA|Veterans Affairs
VCAM1|Vascular Cell Adhesion Molecule 1
VCF|Variant Call Format
VCP|Valosin Containing Protein
VDBP|Vitamin D Binding Protein
VDR|Vitamin D Receptor
VEGFA|Vascular Endothelial Growth Factor A
VEGFB|Vascular Endothelial Growth Factor B
VEGFC|Vascular Endothelial Growth Factor C
VEGFD|Vascular Endothelial Growth Factor D
VEGF|Vascular Endothelial Growth Factor
VHL|Von Hippel Lindau
VIPR1|Vasoactive Intestinal Peptide Receptor 1
VIPR2|Vasoactive Intestinal Peptide Receptor 2
VIP|Vasoactive Intestinal Peptide
VIP|Vasoactive Intestinal Polypeptide
VI|Virgin Islands
VLDLR|Very Low Density Lipoprotein Receptor
VLDL|Very Low Density Lipoprotein
VPR|Viral Protein R
VPS2|Vacuolar Protein Sorting 2
VV|Vaccinia Virus
VWF|Viii-von Willebrand Factor
VWF|Von Willebrand Factor
WAI|Work Ability Index
WBC|White Blood Cell
WBC|White Blood Cells
WBC|White Blood Corpuscle
WDHA|Watery Diarrhea, Hypokalemia, And
WD|Wd-40 Domain
WF|Wistar Furth
WGA|Whole Genome Association
WGS|Whole Genome Sequencing
WH|Wistar Han
WIF1|Wnt Inhibitory Factor 1
WIP|Was/wasl Interacting Protein
WISP1|Wnt1 Induced Secreted Protein 1
WIWI|Was It Worth It
WLS|Wu Ling San
WS|Williams-beuren Syndrome
WT1|Wilms Tumor 1
WT2|Wilms Tumor 2
WV|West Virginia
WW|Wac Wt
WW|Wbp1l Wt
WW|Wwc1 Wt
WW|Wwox Wt
WW|Wwp1 Wt
WW|Wwp2 Wt
WW|Wwtr1 Wt
XAF1|Xiap Associated Factor 1
XBP1|X-box Binding Protein 1
XC|Xc Chemokine
XIST|X Inactive Specific Transcript
XK|X Kell
XK|X-linked Kx
XK|Xk, Kell
XPC|Xeroderma Pigmentosum, Complementation
XP|Xeroderma Pigmentosum
XRCC2|X-ray Repair Cross Complementing 2
XRCC6|X-ray Repair Cross Complementing 6
XSLJZ|Xiang Sha Liu Jun Zi
YAC|Yeast Artificial Chromosome
YAML|Yaml Ain't Markup Language
YAP1|Yes Associated Protein 1
YYJ|Yiqi Yangyin Jiedu
ZFPM1|Zinc Finger Protein, Multitype 1
ZFPM2|Zinc Finger Protein, Multitype 2
ZFTA|Zinc Finger Translocation Associated
ZL|Z, Long
